,Columns,Zeros,NaN,Nulls
product_type,product_type,0.0,0.0,0.0
sku,sku,0.0,0.0,0.0
price,price,0.0,0.0,0.0
availability,availability,0.0,0.0,0.0
number_of_products_sold,number_of_products_sold,0.0,0.0,0.0
revenue_generated,revenue_generated,0.0,0.0,0.0
customer_demographics,customer_demographics,0.0,0.0,0.0
stock_levels,stock_levels,1.0,0.0,0.0
lead_times,lead_times,0.0,0.0,0.0
order_quantities,order_quantities,0.0,0.0,0.0
shipping_times,shipping_times,0.0,0.0,0.0
shipping_carriers,shipping_carriers,0.0,0.0,0.0
shipping_costs,shipping_costs,0.0,0.0,0.0
supplier_name,supplier_name,0.0,0.0,0.0
location,location,0.0,0.0,0.0
lead_time,lead_time,0.0,0.0,0.0
production_volumes,production_volumes,0.0,0.0,0.0
manufacturing_lead_time,manufacturing_lead_time,0.0,0.0,0.0
manufacturing_costs,manufacturing_costs,0.0,0.0,0.0
inspection_results,inspection_results,0.0,0.0,0.0
defect_rates,defect_rates,0.0,0.0,0.0
transportation_modes,transportation_modes,0.0,0.0,0.0
routes,routes,0.0,0.0,0.0
costs,costs,0.0,0.0,0.0
